NM_001368759	8030462N17Rik
NM_001368833	Rnls
NM_001369133	Sall3
NM_001369356	Incenp
NM_001369357	Taf4b
NM_001369358	Taf4b
NM_001369360	Klc2
NM_001369361	Klc2
NM_001369362	Klc2
NM_001369363	Nrxn2
NM_001370419	LOC114841036
NM_001370686	Lgals12
NM_001370761	Snx24
NM_001370767	Lcor
NM_001370777	Ms4a19
NM_001370869	Gm35060
NM_001370889	Gm19774
NM_001370903	Gm36718
NM_001370919	Gm17266
NM_001370933	Zscan30
NM_001370934	Zscan30
NM_001370935	Zscan30
NM_001370936	Zscan30
NM_001370937	Zscan30
NM_001371012	Gucy2g
NM_001371039	Kctd16
NM_001371040	Kctd16
NM_001371041	Kctd16
NM_001373937	Cyp2c39
NM_001373944	Syt7
NM_001373946	Mms19
NM_001373968	Ccdc172
NM_001373969	Ccdc172
NM_001373978	Tsga10ip
NM_001373992	Cnnm1
NM_001374039	Ccdc172
NM_001374047	Brms1
NM_001374048	Brms1
NM_001374051	Rin1
NM_001374052	Rin1
