motifName	meanDeviationZgrp1_kidney	meanDeviationZgrp2_liver	zDiff	pvalue	padj	negLog10padj	cRank	cRank_rerank
MA0834.1_ATF7	3.97398796438199	-3.45986602405135	7.43385398843333	4.62940578756291e-05	0.000119130042266619	3.92397870413137	225	167
MA0835.1_BATF3	0.690920651844974	-0.565816299533985	1.25673695137896	0.0616443418384983	0.0681146448940659	1.16675950316946	524	512
MA0466.2_CEBPB	0.0673779471726416	-0.101076446019104	0.168454393191745	0.647261162771836	0.660959811719388	0.179824946080335	570	568
MA0836.1_CEBPD	0.208383733510476	-0.299463823643759	0.507847557154235	0.253024052275233	0.265881898851833	0.575311228280895	551	545
MA0837.1_CEBPE	0.250506498446663	-0.273797049686608	0.524303548133271	0.158776677147112	0.169615675402542	0.77053401395289	542	536
MA0838.1_CEBPG	1.53116439871306	-1.44753884121458	2.97870323992763	0.000270773393670392	0.000499764751461891	3.30123437803236	319	274
MA0839.1_CREB3L1	0.913710265044741	-0.834756744302362	1.7484670093471	1.52564179907414e-05	5.16576960037385e-05	4.28686496779446	440	413
MA0840.1_Creb5	3.11008999706114	-2.74974747298625	5.85983747004739	2.86279840889823e-05	8.24656855100536e-05	4.08372672652564	201	146
MA0117.2_Mafb	1.40824166093386	-1.40788769812718	2.81612935906105	0.000489232736856531	0.000833134572470387	3.07928484329796	340	295
MA0841.1_NFE2	-0.118969792463872	0.0139865512177679	-0.13295634368164	0.760625193120291	0.768589854828356	0.114305352399827	574	573
MA0842.1_NRL	1.02648111288707	-0.920016088165695	1.94649720105277	0.000594862743077143	0.000984072937833331	3.00697271119813	418	387
MA0843.1_TEF	-0.334294557803097	0.295043400297099	-0.629337958100196	0.0122154035758885	0.0146736901876337	1.83346065462349	539	533
MA0844.1_XBP1	-0.676777343539509	0.654406179662674	-1.33118352320218	0.00811133598906082	0.00995013461369961	2.00217104371744	482	464
MA0845.1_FOXB1	3.79720567900832	-3.5717014363873	7.36890711539561	6.8588072498321e-05	0.000161432902343609	3.79200794514066	246	191
MA0032.2_FOXC1	3.66878985733696	-3.39308772982635	7.06187758716331	2.58603378040268e-06	1.74106227773622e-05	4.75918569390654	86	47
MA0846.1_FOXC2	3.13497177174884	-2.9538142740264	6.08878604577524	1.219527644497e-05	4.61507520368474e-05	4.3358212176545	153	100
MA0847.1_FOXD2	1.25053468005817	-1.06447142842602	2.31500610848419	0.000629076836684642	0.0010117652456678	2.99492024277083	376	334
MA0848.1_FOXO4	1.25053468005817	-1.06447142842602	2.31500610848419	0.000629076836684642	0.0010117652456678	2.99492024277083	376	334
MA0849.1_FOXO6	1.25053468005817	-1.06447142842602	2.31500610848419	0.000629076836684642	0.0010117652456678	2.99492024277083	376	334
MA0850.1_FOXP3	1.25053468005817	-1.06447142842602	2.31500610848419	0.000629076836684642	0.0010117652456678	2.99492024277083	376	334
MA0851.1_Foxj3	2.1186826076794	-1.99673995229646	4.11542255997585	3.90404626510211e-06	2.19460464805255e-05	4.65864370532337	241	185
MA0853.1_Alx4	4.66373926764832	-4.42796707669333	9.09170634434165	3.99678168558727e-06	2.22513134226445e-05	4.652644348936	104	55
MA0854.1_Alx1	4.92691665005736	-4.67559617832417	9.60251282838154	2.43872288705887e-05	7.39277775710517e-05	4.13119234943803	191	136
MA0855.1_RXRB	1.44378959773624	-1.36249620322545	2.80628580096169	0.000852282477690407	0.00133011200696158	2.87611178613279	371	330
MA0856.1_RXRG	1.00042698766534	-0.956160066541396	1.95658705420674	0.00311283403622992	0.00411491074652312	2.38563958030903	438	409
MA0857.1_Rarb	1.23654256325511	-1.06350504085704	2.30004760411215	8.40347428554017e-05	0.000190062953567491	3.72110252610733	382	343
MA0858.1_Rarb(var.2)	2.43760613122969	-2.21364162785777	4.65124775908745	1.79559972868756e-06	1.32709974759697e-05	4.87709643342577	201	146
